,Eff Gas Day/Eff Time,TSP Name,CycleDesc,Loc Purp Desc,Loc,Loc Name,Loc Zn,Loc (Segment),Design Capacity,Operating Capacity,Total Scheduled Quantity,Operationally Available Capacity,IT,Flow Ind,All Qty Avail,Qty Reason,TimeStamp
155,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44408,TRNSCO/NGPL JOHNSONS BAYOU SW CAMER,5.0,23.0,"243,855","43,855",0,"43,855",N,D,Y,,2025-04-26 10:40:07
156,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44439,MEP/NGPL LAMAR                     ,3.0,17.0,"350,000","350,000","185,257","164,743",Y,D,Y,,2025-04-26 10:40:07
157,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44452,PATRIOT/NGPL ETHANOL HENRY         ,6.0,14.0,"27,000","27,000","10,000","17,000",N,D,Y,,2025-04-26 10:40:07
158,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44506,HRRII/NGPL EMERGENCY FUEL D CARSON ,2.0,6.0,"1,000","1,000",0,"1,000",N,D,Y,,2025-04-26 10:40:07
159,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44528,GLDNPASS/NGPL JE                   ,3.0,25.0,"390,000","390,000",0,"390,000",N,BD,Y,,2025-04-26 10:40:07
160,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44543,XTO ENER/NGPL DAUBE RANCH JOHNSTON ,3.0,15.0,"4,400","4,400",0,"4,400",N,BD,Y,,2025-04-26 10:40:07
161,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44657,TRES PAL/NGPL TRES PALACIOS STORAGE,4.0,22.0,"880,000","880,000","75,186","804,814",Y,BD,Y,,2025-04-26 10:40:07
162,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44776,ONE EART/NGPL ETHANOL PLANT MC LEAN,6.0,28.0,"15,000","15,000","10,500","4,500",N,D,Y,,2025-04-26 10:40:07
163,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44836,HOLLY EP/NGPL CUST TRANS EDDY      ,1.0,7.0,"19,154","19,154",0,"19,154",N,D,Y,,2025-04-26 10:40:07
164,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,44941,ENABLEIL/NGPL METROEAST MADISON    ,6.0,28.0,"95,000","95,000",0,"95,000",N,D,Y,,2025-04-26 10:40:07
165,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,45257,NICORGAS/NGPL PATTERSON RD WILL    ,6.0,33.0,"16,519","16,519",0,0,N,D,Y,,2025-04-26 10:40:07
166,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,45373,ENSTOR/NGPL GRAMA RIDGE LEA        ,1.0,9.0,"110,000","60,000",0,"60,000",N,BD,Y,,2025-04-26 10:40:07
167,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,45402,EMP-EOIT/NGPL DEL BRYAN            ,3.0,17.0,"25,000","25,000",0,"25,000",N,D,Y,,2025-04-26 10:40:07
168,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,46273,NAVITAS/NGPL LATERAL DELIVERY LOVE ,3.0,15.0,"3,000","3,000",109,"2,891",Y,D,Y,,2025-04-26 10:40:07
169,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,46285,SWEPCO/NGPL TURK HEMPSTEAD         ,6.0,27.0,"23,000","23,000",0,"23,000",N,D,Y,,2025-04-26 10:40:07
170,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,46388,AMER IL/NGPL AMEREN BUREAU         ,6.0,14.0,"158,000","158,000",0,0,N,D,Y,,2025-04-26 10:40:07
171,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,46480,PSI MIDS/NGPL PROCESSING PLANT CAME,5.0,23.0,"175,000","175,000",0,"175,000",N,D,Y,,2025-04-26 10:40:07
